AdjustedQueryTerm,PreferredTerm,SemanticType,ui,,,
bibliography,Bibliography,Intellectual Product|Manufactured Object,C0005358,,,
bibliography of medicine,Bibliography of Medicine,Intellectual Product,C0005360,,,
bibliometrics,Bibliometrics,Research Activity,C0005364,,,
bibliometric,Bibliometrics,Research Activity,C0005364,,,
bibliometric analysis,Bibliometrics,Research Activity,C0005364,,,
bibliotherapy,Bibliotherapy,Therapeutic or Preventive Procedure,C0005365,,,
bicalutamide,bicalutamide,Organic Chemical|Pharmacologic Substance,C0285590,,,
bicalutamida,bicalutamide,Organic Chemical|Pharmacologic Substance,C0285590,,,
actual bicarbonate,Bicarbonates,Pharmacologic Substance|Inorganic Chemical,C0005367,,,
bicarbonate,Bicarbonates,Pharmacologic Substance|Inorganic Chemical,C0005367,,,
biceps,Biceps brachii muscle structure,"Body Part, Organ, or Organ Component",C0559499,,,
bicillin,Bicillin,Organic Chemical|Antibiotic,C0729074,,,
bictegravir,bictegravir,Organic Chemical|Pharmacologic Substance,C4507568,,,
bicuspid aortic valve,Bicuspid aortic valve,Congenital Abnormality,C0149630,,,
bicycle,Bicycle,Manufactured Object,C0005375,,,
bike,Bicycle,Manufactured Object,C0005375,,,
bhp,bicyclo(2.2.1)hept-5-en-2-yl phenyl sulfoxide,Organic Chemical,C0640001,,,
bidil,Bidil,Organic Chemical|Pharmacologic Substance,C0968130,,,
bifidobacteria,Bifidobacterium,Bacterium,C0005380,,,
big data,Big Data,Intellectual Product|Intellectual Product|Intellectual Product,C4704779,,,
big prolactin,big prolactin,"Amino Acid, Peptide, or Protein",C0209245,,,
biguanides,Biguanides,Organic Chemical|Pharmacologic Substance,C0005382,,,
bilastine,bilastine,Organic Chemical|Pharmacologic Substance,C1101148,,,
blepharitis bilateral,Bilateral blepharitis,Disease or Syndrome,C4047860,,,
bilateral ovariectomy,Bilateral oophorectomy,Therapeutic or Preventive Procedure,C0278321,,,
bilateral otitis media,Bilateral otitis media,Disease or Syndrome,C0856467,,,
bilberry,Bilberry extract,Organic Chemical|Pharmacologic Substance,C0453269,,,
bilberry leaf,Bilberry leaf extract,Organic Chemical|Pharmacologic Substance,C0873013,,,
bile acid diarrhea,Bile acid diarrhea,Disease or Syndrome,C4524087,,,
bile acid,Bile Acids,Organic Chemical|Biologically Active Substance,C0005390,,,
bile duct,Bile duct structure,"Body Part, Organ, or Organ Component",C0005400,,,
bile ducts,Bile duct structure,"Body Part, Organ, or Organ Component",C0005400,,,
bile,Bile fluid,Body Substance|Body Substance|Body Substance,C0005388,,,
bile acid binding resins,Bile-acid Binding Resin [EPC],Pharmacologic Substance,C2266924,,,
bile reflux gastritis,Bile-induced gastritis,Disease or Syndrome,C0149631,,,
bipap,Bilevel positive airway pressure,Therapeutic or Preventive Procedure,C1611149,,,
biliary cystadenoma,Biliary adenoma,Neoplastic Process,C0238020,,,
biliary atresia,Biliary Atresia,Congenital Abnormality,C0005411,,,
biliary drain,biliary drain,Medical Device,C0489793,,,
biliary fistula,Biliary Fistula,Pathologic Function,C0005417,,,
von meyenburg complexes,Biliary hamartoma,Neoplastic Process,C0334091,,,
biliary stents,Biliary Stent Devices,Medical Device,C0183512,,,
biliary tract,Biliary tract structure,"Body Part, Organ, or Organ Component",C0005423,,,
bilingualism,Bilingualism,Language,C0302818,,,
bilirubin,Bilirubin,Organic Chemical|Biologically Active Substance,C0005437,,,
colera,Bilis,Mental or Behavioral Dysfunction,C0520687,,,
biloma,Biloma,Disease or Syndrome,C1167663,,,
bim,Bim serotype,Intellectual Product,C0445450,,,
bimanual,Bimanual,Functional Concept,C1511117,,,
binder,"Binder, device",Medical Device,C0179302,,,
binding,Binding action,Activity,C1145667,,,
binge drinking,Binge Drinking,Individual Behavior,C0556346,,,
bing,Binge eating disorder,Mental or Behavioral Dysfunction,C0596170,,,
binge,Binge eating disorder,Mental or Behavioral Dysfunction,C0596170,,,
binge eating disorder,Binge eating disorder,Mental or Behavioral Dysfunction,C0596170,,,
binswanger,Binswanger Disease,Disease or Syndrome,C0270786,,,
bioinformatics,Bio-Informatics,Biomedical Occupation or Discipline,C1140694,,,
bioinformatic,Bio-Informatics,Biomedical Occupation or Discipline,C1140694,,,
bio oss,Bio-Oss,Biomedical or Dental Material|Inorganic Chemical,C0174021,,,
bioartificial organs,Bioartificial Organs,Medical Device,C0599700,,,
biobank,Biobanks,Health Care Related Organization,C3824747,,,
biobanks,Biobanks,Health Care Related Organization,C3824747,,,
nci_bioc,"BioCarta online maps of molecular pathways, adapted for NCI use",Intellectual Product,C3826823,,,
biochemical,Biochemical,Functional Concept,C0205474,,,
pathway,Biochemical Pathway,Molecular Function,C1704259,,,
biochemical pharmacology,Biochemical Pharmacology,Biomedical Occupation or Discipline,C1511129,,,
biochemistry,Biochemistry,Occupation or Discipline,C0005477,,,
biochips,biochip,Research Device,C0872110,,,
biocompatibility,Biocompatibility,Molecular Function,C0596177,,,
biodefense,biodefense,Activity,C1328848,,,
biodefense and bioterrorism,Biodefense and Bioterrorism,Human-caused Phenomenon or Process,C1456634,,,
biodentine,biodentine,Biomedical or Dental Material|Inorganic Chemical,C3502756,,,
biodiversity,Biodiversity,Qualitative Concept,C0282469,,,
bioethic,Bioethics,Biomedical Occupation or Discipline,C0005489,,,
bioethics,Bioethics,Biomedical Occupation or Discipline,C0005489,,,
biofeedback,Biofeedback,Therapeutic or Preventive Procedure,C0005491,,,
biofield,Biofield Therapy,Therapeutic or Preventive Procedure,C1511139,,,
bioflavonoids,Bioflavonoids,Organic Chemical|Vitamin|Pharmacologic Substance,C0005492,,,
anabolism,bioformation,Functional Concept,C0005572,,,
biosynthesis,bioformation,Functional Concept,C0005572,,,
biofreeze,Biofreeze,Organic Chemical|Pharmacologic Substance,C1815268,,,
biogas,Biogas,Organic Chemical,C2717893,,,
biogenic amines,Biogenic Amines,Organic Chemical|Biologically Active Substance|Pharmacologic Substance,C0005496,,,
biohazard,Biohazardous Substance,Hazardous or Poisonous Substance,C0079021,,,
maturation,Biologic Development,Organism Function,C0678723,,,
preservation,Biologic Preservation,Laboratory Procedure,C0033085,,,
preserve,Biologic Preservation,Laboratory Procedure,C0033085,,,
bioavailability,Biological Availability,Quantitative Concept,C0005508,,,
vascular graft,Biological blood vessel prosthesis,Medical Device,C0182437,,,
biological clock,Biological Clocks,Organism Function,C0005511,,,
biological clocks,Biological Clocks,Organism Function,C0005511,,,
biological evolution,Biological Evolution,Genetic Function,C0015219,,,
evolution,Biological Evolution,Genetic Function,C0015219,,,
biologic,Biological Factors,Biologically Active Substance,C0005515,,,
biologics,Biological Factors,Biologically Active Substance,C0005515,,,
biopharmaceuticals,Biological Factors,Biologically Active Substance,C0005515,,,
biological drugs,Biological Factors,Biologically Active Substance,C0005515,,,
biological macromolecules,Biological macromolecule,Substance,C1179809,,,
biomarker,Biological Markers,Clinical Attribute,C0005516,,,
biomarkers,Biological Markers,Clinical Attribute,C0005516,,,
molecular marker,Biological Markers,Clinical Attribute,C0005516,,,
marker,Biological Markers,Clinical Attribute,C0005516,,,
metamorphosis,Biological Metamorphosis,Organism Function,C0025558,,,
neural networks,Biological Neural Networks,Organism Function,C0598941,,,
radiation resistance,biological radiation resistance,Biologic Function,C0597345,,,
biotherapy,Biological Response Modifier Therapy,Therapeutic or Preventive Procedure,C0005527,,,
biological therapy,Biological Response Modifier Therapy,Therapeutic or Preventive Procedure,C0005527,,,
transport,Biological Transport,Cell Function,C0005528,,,
blas,Biologics License Application,Intellectual Product,C2347025,,,
biological,biology (field),Biomedical Occupation or Discipline,C0005532,,,
biology,biology (field),Biomedical Occupation or Discipline,C0005532,,,
biomagnetism,biomagnetism,Natural Phenomenon or Process,C0596175,,,
biomarkers tumor,"Biomarkers, Tumor",Biologically Active Substance,C0041366,,,
biomaterial,Biomaterials,Biomedical or Dental Material,C0005479,,,
biomaterials,Biomaterials,Biomedical or Dental Material,C0005479,,,
compliance,Biomechanical compliance,Quantitative Concept,C0009563,,,
biomechanical phenomena,Biomechanical Phenomena,Natural Phenomenon or Process,C3658372,,,
biomechanics,biomechanics,Biomedical Occupation or Discipline,C0005537,,,
biomechanic,Biomechanics,Biomedical Occupation or Discipline,C0005537,,,
bioengineering,biomedical engineering field,Biomedical Occupation or Discipline,C0005539,,,
biomedical engineering,biomedical engineering field,Biomedical Occupation or Discipline,C0005539,,,
biomedical research,Biomedical Research,Research Activity,C0005540,,,
nci_bridg,Biomedical Research Integrated Domain Group Model,Intellectual Product,C3826822,,,
tape,Biomedical tape,Medical Device,C0183828,,,
taping,Biomedical tape,Medical Device,C0183828,,,
allopathic medicine,Biomedicine,Biomedical Occupation or Discipline,C1879848,,,
biomedical,Biomedicine,Biomedical Occupation or Discipline,C1879848,,,
conventional medicine,Biomedicine,Biomedical Occupation or Discipline,C1879848,,,
western medicine,Biomedicine,Biomedical Occupation or Discipline,C1879848,,,
biostatistics,Biometry,Research Activity,C0005544,,,
biometrics,Biometry and Biostatistics (occupation or discipline),Occupation or Discipline,C2718322,,,
biomimetic materials,Biomimetic Materials,Manufactured Object,C1136386,,,
bioorganic chemistry,Bioorganic chemistry,Occupation or Discipline,C3826653,,,
bioperine,Bioperine,Pharmacologic Substance,C1709546,,,
biopolymers,Biopolymers,"Amino Acid, Peptide, or Protein|Biologically Active Substance",C0005554,,,
to biopsy,Biopsy,Diagnostic Procedure,C0005558,,,
breast biopsy,Biopsy of breast,Diagnostic Procedure,C0405352,,,
skin lesion biopsy,Biopsy of lesion of skin,Diagnostic Procedure,C0856310,,,
liver biopsy,Biopsy of liver (procedure),Diagnostic Procedure,C0193388,,,
lung biopsy,Biopsy of lung,Diagnostic Procedure,C0189485,,,
lymph node biopsy,Biopsy of lymph node,Diagnostic Procedure,C0193842,,,
nerve biopsy,Biopsy of nerve,Diagnostic Procedure,C0196622,,,
prostate biopsy,Biopsy of prostate,Diagnostic Procedure,C0194804,,,
thyroid biopsy,Biopsy of thyroid (procedure),Diagnostic Procedure,C0193781,,,
biopsychosocial model,biopsychosocial model,Intellectual Product,C0870205,,,
biosafety,Biosafety,Occupational Activity,C4505375,,,
biosample,Biosample,Conceptual Entity,C1706958,,,
biosensor,Biosensors,Research Device,C0600364,,,
biosimilar,Biosimilars,Pharmacologic Substance,C4045974,,,
biosimilars,Biosimilars,Pharmacologic Substance,C4045974,,,
biotechnology,Biotechnology,Biomedical Occupation or Discipline,C0005574,,,
bioterrorism,Bioterrorism,Activity,C0872021,,,
biothrax,Biothrax,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",C1330099,,,
biotin,Biotin,Organic Chemical|Vitamin|Pharmacologic Substance,C0005575,,,
biotina,Biotin,Organic Chemical|Vitamin|Pharmacologic Substance,C0005575,,,
bipolar,Bipolar,Spatial Concept,C0443156,,,
bi-polar disorder,Bipolar Disorder,Mental or Behavioral Dysfunction,C0005586,,,
bipolar disorder,Bipolar Disorder,Mental or Behavioral Dysfunction,C0005586,,,
bipolar disorders,Bipolar Disorder,Mental or Behavioral Dysfunction,C0005586,,,
bipolar affective disorder,Bipolar Disorder,Mental or Behavioral Dysfunction,C0005586,,,
manic depression,Bipolar Disorder,Mental or Behavioral Dysfunction,C0005586,,,
manic-depressive illness,Bipolar Disorder,Mental or Behavioral Dysfunction,C0005586,,,
bipolar disorder type 2,"Bipolar disorder, type 2",Mental or Behavioral Dysfunction,C4509114,,,
bipolar 1 disorder,Bipolar I disorder,Mental or Behavioral Dysfunction,C0853193,,,
bipolar neurons,Bipolar neuron,Cell,C1511178,,,
birth,Birth,Organism Function,C0005615,,,
births,Birth,Organism Function,C0005615,,,
born,Birth,Organism Function,C0005615,,,
childbirth,Birth,Organism Function,C0005615,,,
delivery,Birth,Organism Function,C0005615,,,
parturition,Birth,Organism Function,C0005615,,,
birth certificate,Birth Certificates,Intellectual Product,C0005600,,,
birth complications,Birth Complication,Finding,C2825536,,,
birth control history,birth control (history),Finding,C2703065,,,
birth control patch,Birth control patch,Medical Device,C3843424,,,
birth spacing,Birth Intervals,Temporal Concept,C0005605,,,
birth marks,Birth mark,Congenital Abnormality,C0852910,,,
child birth,Birth of child,Finding,C0581135,,,
birth outcomes,Birth outcome,Clinical Attribute,C1286282,,,
birth plans,Birth plan:Finding:Point in time:^Patient:Narrative,Clinical Attribute,C2735359,,,
birth weight,Birth Weight,Organism Attribute,C0005612,,,
birthing ball,Birthing ball,Medical Device,C4068784,,,
birthplace,Birthplace:Identifier:Point in time:^Patient:Nominal,Clinical Attribute,C0804630,,,
bcma,bis(3-bis(4-chlorophenyl)methyl-4-dimethylaminophenyl)amine,Organic Chemical|Pharmacologic Substance,C0626649,,,
c-di-gmp,"bis(3',5')-cyclic diguanylic acid","Nucleic Acid, Nucleoside, or Nucleotide",C0053697,,,
alpha-bisabolol,bisabolol,Organic Chemical|Pharmacologic Substance,C0053774,,,
bisacodyl,Bisacodyl,Organic Chemical|Pharmacologic Substance,C0005632,,,
bi,Bisexuality,Social Behavior,C0005639,,,
bisexual,Bisexuality,Social Behavior,C0005639,,,
bismuth,Bismuth,"Element, Ion, or Isotope",C0005642,,,
bismuth oxychloride,bismuth oxychloride,Pharmacologic Substance|Inorganic Chemical,C0053787,,,
bismuth subgallate,bismuth subgallate,Organic Chemical|Pharmacologic Substance,C0053790,,,
bismuth subsalicylate,bismuth subsalicylate,Organic Chemical|Pharmacologic Substance,C0053792,,,
bisolvon,Bisolvon,Organic Chemical|Pharmacologic Substance,C0919351,,,
bisoprolol,Bisoprolol,Organic Chemical|Pharmacologic Substance,C0053799,,,
bispectral index,Bispectral index (assessment scale),Intellectual Product,C1301882,,,
bisphenol a,bisphenol A,Organic Chemical|Hazardous or Poisonous Substance,C0053800,,,
bisphenol-a,bisphenol A,Organic Chemical|Hazardous or Poisonous Substance,C0053800,,,
bite force,Bite Force,Functional Concept,C0005654,,,
bite,bite injury,Injury or Poisoning,C0005658,,,
bitter taste,Bitter,Qualitative Concept,C0235290,,,
bixa orellana,Bixa orellana (plant),Plant,C1145672,,,
bk virus,BK Virus,Virus,C0005670,,,
weizhong,BL40 - popliteal crease,Body Location or Region,C0450634,,,
boxed warning,Black Box Warning,Health Care Activity,C4042781,,,
black cohosh,Black Cohosh Extract,Organic Chemical|Pharmacologic Substance,C0771967,,,
cimicifuga racemosa,Black Cohosh Extract,Organic Chemical|Pharmacologic Substance,C0771967,,,
black pepper extract,Black Pepper Preparation,Organic Chemical|Pharmacologic Substance,C0939867,,,
black,Black race,Population Group,C0005680,,,
black race,Black race,Population Group,C0005680,,,
negro,Black race,Population Group,C0005680,,,
black oil seed,Black Seed Oil,Organic Chemical|Pharmacologic Substance,C2733644,,,
black seed,Black Seed Oil,Organic Chemical|Pharmacologic Substance,C2733644,,,
black seed oil,Black Seed Oil,Organic Chemical|Pharmacologic Substance,C2733644,,,
black widow spider bites,black widow spider bite,Injury or Poisoning,C0241811,,,
blackberry,Blackberries,Food,C0453270,,,
bla,Blackfoot language,Language,C0574531,,,
bladder control,"Bladder control, function",Organism Function,C0542565,,,
bladder irrigation,Bladder irrigation procedure,Therapeutic or Preventive Procedure,C0194423,,,
bladder outlet obstruction,Bladder neck obstruction,Disease or Syndrome,C0005694,,,
bladder polyp,Bladder polyp,Neoplastic Process,C0586737,,,
prolapsed bladder,Bladder prolapse,Disease or Syndrome,C0262393,,,
bladder scan,Bladder scan,Diagnostic Procedure,C1096192,,,
bladder tamponade,Bladder tamponade,Pathologic Function,C1328289,,,
trabeculation bladder,Bladder trabeculation,Anatomical Abnormality,C0429803,,,
trabeculated bladder,Bladder trabeculation,Anatomical Abnormality,C0429803,,,
resection of bladder tumor,Bladder tumour resection,Therapeutic or Preventive Procedure,C0740283,,,
blade,Blades (device),Medical Device,C0179323,,,
bladuril,Bladuril,Organic Chemical|Pharmacologic Substance,C1564748,,,
blalock-taussig shunt,Blalock-Taussig Shunts (device),Medical Device,C0179328,,,
bland diet,Bland diet,Finding,C0301572,,,
weighted blankets,"Blankets, Weighted",Medical Device,C3689137,,,
weighted blanket,"Blankets, Weighted",Medical Device,C3689137,,,
blast,BLAST,Product-NCBI,,,,
blast analysis,BLAST,Product-NCBI,,,,
blast cells,BLAST,Product-NCBI,,,,
blast link,BLAST,Product-NCBI,,,,
blast n,BLAST,Product-NCBI,,,,
blast prime,BLAST,Product-NCBI,,,,
blast protein,BLAST,Product-NCBI,,,,
blast2,BLAST,Product-NCBI,,,,
blastall,BLAST,Product-NCBI,,,,
blastn,BLAST,Product-NCBI,,,,
blastp,BLAST,Product-NCBI,,,,
blastx,BLAST,Product-NCBI,,,,
hemoglobinblast,BLAST,Product-NCBI,,,,
nucleotide blast,BLAST,Product-NCBI,,,,
prime blast,BLAST,Product-NCBI,,,,
primer blast,BLAST,Product-NCBI,,,,
primer-blast,BLAST,Product-NCBI,,,,
primer-blast,BLAST,Product-NCBI,,,,
promer blast,BLAST,Product-NCBI,,,,
protein blast,BLAST,Product-NCBI,,,,
run blast,BLAST,Product-NCBI,,,,
blast,Blast (physical force),Natural Phenomenon or Process,C0337026,,,
blasts,Blast (physical force),Natural Phenomenon or Process,C0337026,,,
blastocystis,Blastocystis,Eukaryote,C0005707,,,
blastomycosis,Blastomycosis,Disease or Syndrome,C0005716,,,
blattella germanica,Blattella germanica (invertebrate),Eukaryote,C0322502,,,
bleaching,Bleach,Inorganic Chemical,C0303749,,,
hair bleaching,Bleached hair,Sign or Symptom,C0520897,,,
posttonsillectomy bleeding,Bleeding following tonsillectomy,Pathologic Function,C4305419,,,
blm,Bleomycin,"Amino Acid, Peptide, or Protein|Antibiotic",C0005740,,,
bvm,Bleomycin/Methotrexate/Vinblastine,Therapeutic or Preventive Procedure,C0279260,,,
